Currency,Date,Description,Amount,Fees,Price,Pair,Other Currency,Other Amount
QNT,2020-04-01 16:04:37.652 ,Order 6f3043d96c200fb7,19.634346,0.0197,4.09102,QNT/EUR,EUR,-80.32
QNT,2020-04-01 16:03:14.058 ,Order 0b0dc85528d04954,21.300677999999998,0.0213,4.08639,QNT/EUR,EUR,-87.04
QNT,2020-04-01 16:01:09.484 ,Order 65436ea9fbe9442f,3.4105860000000003,0.00341,4.17692,QNT/EUR,EUR,-14.25
QNT,2020-04-01 15:57:45.637 ,Order e362beca1e6556f4,4.995,0.00500,4.26980,QNT/EUR,EUR,-21.33
QNT,2020-04-01 15:45:45.365 ,Order 6a6cffdcc452c3ac,0.2843154,0.000285,4.04076,QNT/EUR,EUR,-1.15
QNT,2020-04-01 15:45:45.347 ,Order 6a6cffdcc452c3ac,21.490488,0.0215,4.03031,QNT/EUR,EUR,-86.61
QNT,2020-04-01 15:36:49.307 ,Order a28d9eeee42d8daa,4.0030929,0.00401,3.92304,QNT/EUR,EUR,-15.70
QNT,2020-04-01 15:35:06.214 ,Order d1cf624a50329294,9.99,0.0100,3.92300,QNT/EUR,EUR,-39.19
QNT,2020-04-01 15:32:00.160 ,Order 4340d11c6de00e03,4.1686271999999995,0.00417,3.92303,QNT/EUR,EUR,-16.35
QNT,2020-04-01 15:30:47.210 ,Order 0acd73f5ffeabcce,4.995,0.00500,3.92300,QNT/EUR,EUR,-19.60
QNT,2020-04-01 14:46:54.829 ,Order d66c5e7d50f4e0f4,13.986,0.0140,3.92300,QNT/EUR,EUR,-54.87
QNT,2020-04-01 14:42:04.822 ,Order 5d5fbf435a08d91a,1.9896084,0.00199,3.92298,QNT/EUR,EUR,-7.81
QNT,2020-04-01 14:42:04.778 ,Order 5d5fbf435a08d91a,20.568410999999998,0.0206,3.91894,QNT/EUR,EUR,-80.61
QNT,2020-04-01 14:28:42.616 ,Order ad7e6e85f6bfbd48,3.6532430999999996,0.00366,3.87213,QNT/EUR,EUR,-14.15
QNT,2020-04-01 14:17:13.968 ,Order a45247d57eac756f,9.99,0.0100,3.86110,QNT/EUR,EUR,-38.57
QNT,2020-04-01 14:14:12.592 ,Order 0d7ddbb5e55cc501,39.96,0.0400,3.90120,QNT/EUR,EUR,-155.89
QNT,2020-04-01 14:02:49.455 ,Order c2c28f4958f16bce,13.7690172,0.0138,3.88020,QNT/EUR,EUR,-53.43
QNT,2020-04-01 13:57:11.447 ,Order 631776e0b2223e3b,20.7827964,0.0208,3.88019,QNT/EUR,EUR,-80.64
QNT,2020-04-01 13:57:11.431 ,Order 631776e0b2223e3b,11.845143,0.0119,3.85156,QNT/EUR,EUR,-45.62
QNT,2020-04-01 13:52:55.569 ,Order 7ce44964382acc62,210.036753,0.210,3.85754,QNT/EUR,EUR,-810.23
QNT,2020-04-01 13:52:55.553 ,Order 7ce44964382acc62,108.034857,0.108,3.84802,QNT/EUR,EUR,-415.72
QNT,2020-04-01 13:52:55.534 ,Order 7ce44964382acc62,51.831117000000006,0.0519,3.83848,QNT/EUR,EUR,-198.95
QNT,2020-04-01 13:52:55.517 ,Order 7ce44964382acc62,20.706273,0.0207,3.82897,QNT/EUR,EUR,-79.28
QNT,2020-04-01 13:13:21.659 ,Order d4e9faa9a9baed09,2.2704273,0.00227,3.77965,QNT/EUR,EUR,-8.58
QNT,2020-04-01 09:14:21.167 ,Order fedf2e9b597c2e24,2.5184789999999997,0.00252,3.61166,QNT/EUR,EUR,-9.10
QNT,2020-04-01 09:12:37.143 ,Order f582bfc021b09683,20.458520999999998,0.0205,3.61146,QNT/EUR,EUR,-73.89
QNT,2020-04-01 09:00:43.043 ,Order 0189d5efca6bb480,15.809175,0.0158,3.61750,QNT/EUR,EUR,-57.19
QNT,2020-04-01 08:45:23.931 ,Order 787251c38959e500,7.167525299999999,0.00717,3.62106,QNT/EUR,EUR,-25.95
QNT,2020-04-01 08:43:24.602 ,Order 0bc179ae8ab1043e,15.917466600000001,0.0159,3.61316,QNT/EUR,EUR,-57.51
QNT,2020-04-01 00:26:23.121 ,Order 62723493d052296e,2.335,0.00,4.00000,QNT/EUR,EUR,-9.34
QNT,2020-03-31 23:34:13.043 ,Order 1eb0ade1b28c8f1e,0.083916,0.0000840,7.86905,QNT/EUR,EUR,-0.66
QNT,2020-03-31 23:34:13.025 ,Order 1eb0ade1b28c8f1e,2.6973000000000003,0.00270,4.57000,QNT/EUR,EUR,-12.33
QNT,2020-03-31 23:17:45.650 ,Order 5ff45b50afe25958,156.97586700000002,0.157,3.62114,QNT/EUR,EUR,-568.43
QNT,2020-03-31 23:17:09.166 ,Order f53ede138acfed96,18.755925299999998,0.0188,3.62190,QNT/EUR,EUR,-67.93
QNT,2020-03-31 22:08:24.878 ,Order 304cedd4271c5796,15.9559281,0.0160,3.64521,QNT/EUR,EUR,-58.16
QNT,2020-03-31 22:08:24.862 ,Order 304cedd4271c5796,2.8329641999999997,0.00284,3.62261,QNT/EUR,EUR,-10.26
QNT,2020-03-31 22:08:24.847 ,Order 304cedd4271c5796,8.5372542,0.00855,3.62236,QNT/EUR,EUR,-30.93
QNT,2020-03-31 16:51:11.404 ,Order b951486fb8428100,1.4286,0.00,3.49993,QNT/EUR,EUR,-5.00
QNT,2020-03-31 16:47:11.171 ,Order 6e43068e22e4edde,24.975,0.0250,3.52324,QNT/EUR,EUR,-87.99
QNT,2020-03-31 16:31:37.466 ,Order 520f79e09ab253da,27.1755972,0.0272,3.51214,QNT/EUR,EUR,-95.44
QNT,2020-03-31 15:55:13.509 ,Order 2f1f404626330c2f,3.4053,0.00,3.48750,QNT/EUR,EUR,-11.88
QNT,2020-03-31 15:49:06.550 ,Order 2f1f404626330c2f,44.248706999999996,0.0443,3.48755,QNT/EUR,EUR,-154.32
QNT,2020-03-31 15:31:33.579 ,Order d8b2ce443658c034,10.696293,0.0107,3.45540,QNT/EUR,EUR,-36.96
QNT,2020-03-31 15:31:33.562 ,Order d8b2ce443658c034,21.271707,0.0213,3.44681,QNT/EUR,EUR,-73.32
QNT,2020-03-31 15:06:52.215 ,Order 5e84d9ba099db2b3,74.0530728,0.0741,3.47673,QNT/EUR,EUR,-257.46
QNT,2020-03-31 15:06:52.199 ,Order 5e84d9ba099db2b3,54.06588,0.0541,3.46813,QNT/EUR,EUR,-187.51
QNT,2020-03-31 15:06:52.182 ,Order 5e84d9ba099db2b3,21.072906,0.0211,3.45951,QNT/EUR,EUR,-72.90
QNT,2020-03-31 14:46:42.873 ,Order 5882f6f4af0466ed,19.110070800000003,0.0191,3.45127,QNT/EUR,EUR,-65.95
